OrderID,Product,Quantity,TotalPrice
ORD200345,Tablet,5,2506.3
ORD200004,Printer,4,2504.04
ORD200114,Monitor,5,2492.4
ORD200598,Desk,5,2476.75
ORD200567,Chair,5,2464.7
ORD200091,Laptop,5,2463.75
ORD200457,Desk,4,2463.32
ORD200994,Tablet,4,2462.6
ORD200311,Desk,5,2446.85
ORD200486,Printer,4,2445.04
ORD200798,Phone,5,2441.75
ORD200832,Chair,5,2428.55
ORD200359,Desk,4,2426.28
ORD200174,Printer,4,2403.24
ORD200817,Chair,4,2392.76
ORD200801,Printer,4,2382.48
ORD200621,Phone,5,2380.05
ORD200913,Printer,5,2379.75
ORD200059,Chair,4,2373.08
ORD200688,Monitor,4,2372.88
ORD200805,Laptop,5,2360.05
ORD200360,Phone,4,2358.28
ORD200072,Tablet,4,2357.76
ORD200560,Monitor,4,2355.4
ORD200267,Chair,5,2342.55
ORD200490,Chair,5,2339.05
ORD200266,Chair,4,2332.28
ORD200342,Monitor,5,2332.1
ORD200726,Laptop,4,2332.08
ORD201080,Laptop,5,2323.7
ORD200965,Laptop,4,2313.12
ORD200638,Tablet,4,2313.08
ORD200588,Monitor,4,2311.28
ORD200838,Desk,4,2308.32
ORD201124,Chair,4,2307.48
ORD200034,Chair,4,2306.08
ORD200615,Monitor,5,2300.7
ORD200541,Printer,5,2280.3
ORD200089,Printer,5,2276.65
ORD200641,Printer,4,2270.28
ORD200082,Tablet,4,2260.8
ORD201199,Tablet,4,2242.32
ORD200575,Chair,5,2240.75
ORD201041,Monitor,4,2235.6
ORD200151,Printer,5,2223.8
ORD201027,Laptop,4,2219.32
ORD200046,Monitor,4,2200.56
ORD200309,Chair,4,2199.04
ORD200407,Tablet,4,2189.28
ORD200858,Tablet,5,2178.3
ORD200200,Tablet,5,2166.3
ORD200083,Laptop,4,2161.64
ORD201047,Chair,4,2161.36
ORD200283,Laptop,4,2161.32
ORD200177,Chair,5,2158.45
ORD200670,Desk,4,2156.8
ORD200189,Printer,5,2147.25
ORD201155,Printer,4,2138.28
ORD200153,Chair,4,2137.92
ORD200737,Phone,4,2131.48
ORD200713,Tablet,4,2129.96
ORD200399,Tablet,5,2119.65
ORD201146,Monitor,5,2107.2
ORD200573,Chair,5,2107.1
ORD201006,Tablet,5,2104.9
ORD200491,Phone,5,2103.5
ORD200742,Laptop,3,2099.79
ORD200736,Monitor,5,2092.65
ORD200935,Phone,3,2078.13
ORD200771,Phone,3,2077.32
ORD201171,Phone,4,2073.6
ORD201034,Printer,4,2071.92
ORD200653,Printer,3,2070.9
ORD200885,Laptop,4,2062.36
ORD200429,Printer,4,2060.76
ORD200141,Printer,3,2052.42
ORD200288,Laptop,4,2051.0
ORD200178,Chair,4,2048.24
ORD200304,Monitor,5,2043.65
ORD200357,Laptop,5,2042.8
ORD200458,Monitor,4,2042.32
ORD200009,Desk,4,2037.52
ORD200807,Monitor,3,2028.63
ORD201035,Laptop,4,2024.44
ORD200181,Printer,5,2021.95
ORD200915,Laptop,4,2011.96
ORD200979,Monitor,3,2007.18
ORD201136,Tablet,3,2004.99
