OrderID,Product,TotalPrice
ORD201199,Tablet,2242.32
ORD200575,Chair,2240.75
ORD201041,Monitor,2235.6
ORD200151,Printer,2223.8
ORD201027,Laptop,2219.32
ORD200046,Monitor,2200.56
ORD200309,Chair,2199.04
ORD200407,Tablet,2189.28
ORD200858,Tablet,2178.3
ORD200200,Tablet,2166.3
ORD200083,Laptop,2161.64
ORD201047,Chair,2161.36
ORD200283,Laptop,2161.32
ORD200177,Chair,2158.45
ORD200670,Desk,2156.8
ORD200189,Printer,2147.25
ORD201155,Printer,2138.28
ORD200153,Chair,2137.92
ORD200737,Phone,2131.48
ORD200713,Tablet,2129.96
ORD200399,Tablet,2119.65
ORD201146,Monitor,2107.2
ORD200573,Chair,2107.1
ORD201006,Tablet,2104.9
ORD200491,Phone,2103.5
ORD200742,Laptop,2099.79
ORD200736,Monitor,2092.65
ORD200935,Phone,2078.13
ORD200771,Phone,2077.32
ORD201171,Phone,2073.6
ORD201034,Printer,2071.92
ORD200653,Printer,2070.9
ORD200885,Laptop,2062.36
ORD200429,Printer,2060.76
ORD200141,Printer,2052.42
ORD200288,Laptop,2051.0
ORD200178,Chair,2048.24
ORD200304,Monitor,2043.65
ORD200357,Laptop,2042.8
ORD200458,Monitor,2042.32
ORD200009,Desk,2037.52
ORD200807,Monitor,2028.63
ORD201035,Laptop,2024.44
ORD200181,Printer,2021.95
ORD200915,Laptop,2011.96
ORD200979,Monitor,2007.18
ORD201136,Tablet,2004.99
ORD200100,Phone,1994.37
ORD200646,Chair,1994.04
ORD200173,Phone,1993.38
ORD200562,Laptop,1991.79
ORD200803,Monitor,1989.05
ORD200746,Desk,1985.67
ORD200911,Desk,1984.3
ORD200216,Monitor,1984.0
ORD201114,Tablet,1979.64
ORD200733,Tablet,1979.36
ORD201010,Monitor,1978.71
ORD200495,Phone,1974.92
ORD201070,Desk,1965.16
ORD200891,Monitor,1963.62
ORD200715,Printer,1960.89
ORD201049,Desk,1959.3
ORD200053,Phone,1955.12
ORD200923,Printer,1949.79
ORD200610,Desk,1948.1
ORD201189,Tablet,1946.1
ORD200534,Chair,1945.77
ORD201128,Monitor,1940.37
ORD200481,Laptop,1939.4
ORD200651,Chair,1939.02
ORD200897,Laptop,1925.92
ORD200574,Chair,1923.45
ORD200917,Laptop,1919.1
ORD200850,Monitor,1915.5
ORD200520,Monitor,1907.94
ORD200388,Printer,1901.91
ORD200058,Phone,1898.76
ORD200996,Monitor,1895.44
ORD200433,Monitor,1894.92
ORD200870,Phone,1880.36
ORD200369,Monitor,1876.25
ORD200115,Phone,1874.95
ORD200758,Tablet,1874.52
ORD200356,Printer,1872.9
ORD200344,Tablet,1870.02
ORD201159,Desk,1866.8
ORD200947,Phone,1862.64
ORD200195,Chair,1857.63
ORD200519,Laptop,1857.16
ORD200293,Tablet,1852.16
ORD201190,Desk,1849.17
ORD200699,Laptop,1842.45
ORD200918,Laptop,1841.25
ORD200041,Monitor,1834.35
ORD200964,Phone,1822.1
ORD200564,Desk,1821.4
ORD200596,Desk,1819.23
ORD200278,Laptop,1812.3
ORD201127,Printer,1808.25
ORD200405,Monitor,1807.88
ORD200366,Printer,1806.72
ORD200616,Tablet,1804.8
ORD200132,Tablet,1803.0
ORD200109,Desk,1778.61
ORD200232,Printer,1777.76
ORD200080,Phone,1768.68
ORD200976,Tablet,1767.9
ORD200779,Phone,1766.22
ORD201117,Chair,1765.32
ORD200226,Desk,1764.15
ORD201028,Desk,1761.24
ORD200992,Printer,1758.63
ORD200237,Monitor,1751.16
ORD200259,Chair,1740.48
ORD200483,Phone,1739.6
ORD200263,Phone,1739.4
ORD200796,Phone,1738.65
ORD200464,Tablet,1737.68
ORD200847,Printer,1736.92
ORD200073,Monitor,1733.8
ORD200894,Tablet,1725.03
ORD200093,Desk,1724.04
ORD200176,Tablet,1723.32
ORD201082,Chair,1719.66
ORD200752,Phone,1717.48
ORD201145,Desk,1714.59
ORD200624,Tablet,1709.8
ORD200815,Printer,1709.52
ORD200652,Chair,1709.2
ORD200852,Desk,1704.15
ORD200512,Desk,1704.06
ORD201081,Monitor,1702.4
ORD200552,Chair,1700.72
ORD200502,Monitor,1695.75
ORD200702,Printer,1687.65
ORD200402,Printer,1686.9
ORD201129,Chair,1674.84
ORD200307,Laptop,1672.23
ORD200790,Laptop,1671.56
ORD200599,Chair,1670.97
ORD200741,Monitor,1663.2
ORD201123,Tablet,1662.75
ORD200384,Chair,1660.71
ORD200515,Phone,1660.56
ORD200253,Chair,1654.96
ORD200204,Laptop,1654.84
ORD200861,Desk,1652.25
ORD200968,Monitor,1648.8
ORD201046,Tablet,1641.45
ORD201137,Printer,1640.84
ORD200434,Printer,1638.4
ORD200791,Chair,1637.12
ORD201125,Desk,1633.44
ORD200154,Phone,1632.84
ORD200179,Laptop,1619.73
ORD200499,Printer,1618.38
ORD200828,Chair,1618.32
ORD200239,Tablet,1616.22
ORD200518,Printer,1614.32
ORD200143,Chair,1600.28
ORD200531,Desk,1600.05
ORD201003,Printer,1599.85
ORD200539,Desk,1595.16
ORD200140,Chair,1584.42
ORD201045,Laptop,1582.0
ORD200180,Tablet,1580.35
ORD201164,Tablet,1577.85
ORD200383,Chair,1575.2
ORD200442,Chair,1574.7
ORD200057,Printer,1571.35
ORD200818,Phone,1563.36
ORD200739,Phone,1546.92
ORD200228,Chair,1543.68
ORD200565,Tablet,1539.9
ORD200794,Printer,1539.4
ORD200371,Phone,1538.8
ORD200238,Desk,1537.28
ORD200076,Laptop,1531.52
ORD200682,Monitor,1528.26
ORD200338,Phone,1527.45
ORD200472,Chair,1524.36
ORD200494,Laptop,1517.37
ORD200952,Monitor,1510.17
ORD200337,Tablet,1508.31
ORD201191,Desk,1505.72
ORD201139,Chair,1505.46
ORD200130,Desk,1503.9
ORD200031,Chair,1500.24
ORD200043,Chair,1497.63
ORD200627,Chair,1496.04
ORD201141,Chair,1495.98
ORD200907,Desk,1491.95
ORD200636,Laptop,1484.28
ORD201088,Desk,1474.29
ORD200068,Chair,1472.76
ORD200538,Phone,1472.22
ORD200853,Printer,1470.03
ORD200813,Laptop,1462.7
ORD200372,Chair,1450.59
ORD201073,Tablet,1448.24
ORD200824,Monitor,1443.3
ORD200056,Tablet,1437.63
ORD200069,Monitor,1435.95
ORD200396,Tablet,1435.65
ORD200674,Laptop,1435.0
ORD201105,Tablet,1427.07
ORD200582,Tablet,1422.42
ORD200903,Monitor,1420.47
ORD200987,Phone,1418.65
ORD200127,Desk,1407.96
ORD200302,Chair,1406.22
ORD200966,Monitor,1402.6
ORD200908,Desk,1395.86
ORD200106,Desk,1395.15
ORD201170,Printer,1394.38
ORD200826,Printer,1391.43
ORD201149,Chair,1390.58
ORD200680,Monitor,1390.17
ORD201102,Chair,1388.68
ORD200945,Tablet,1382.2
ORD200438,Tablet,1378.02
ORD200021,Monitor,1371.8
ORD200142,Desk,1363.85
ORD200716,Chair,1362.87
ORD200719,Laptop,1362.12
ORD201017,Chair,1361.7
ORD200198,Laptop,1361.2
ORD200825,Desk,1358.45
ORD201022,Tablet,1352.94
ORD200529,Tablet,1350.2
ORD200201,Monitor,1349.8
ORD200543,Desk,1349.3
ORD200609,Chair,1347.39
ORD200308,Printer,1346.7
ORD201016,Tablet,1343.9
ORD200924,Printer,1342.15
ORD200612,Chair,1335.36
ORD200997,Laptop,1334.25
ORD200974,Desk,1333.9
ORD200954,Chair,1330.32
ORD200380,Printer,1327.6
ORD201196,Monitor,1325.06
ORD200890,Laptop,1318.59
ORD200662,Laptop,1316.67
ORD200626,Tablet,1314.96
ORD200799,Laptop,1314.24
ORD200666,Monitor,1308.48
ORD200859,Chair,1306.65
ORD201000,Printer,1304.65
ORD200071,Monitor,1303.35
ORD200660,Chair,1303.14
ORD200728,Desk,1303.04
ORD200330,Desk,1302.65
ORD201090,Monitor,1300.5
ORD200355,Tablet,1299.99
ORD201192,Chair,1298.55
ORD201085,Printer,1293.38
ORD200848,Chair,1291.7
ORD200843,Desk,1290.18
ORD200416,Laptop,1288.1
ORD201057,Laptop,1286.64
ORD200217,Desk,1286.04
ORD200649,Monitor,1285.96
ORD200659,Phone,1284.08
ORD200827,Tablet,1279.76
ORD200548,Printer,1278.36
ORD200661,Tablet,1274.67
ORD200029,Desk,1270.59
ORD200806,Chair,1268.75
ORD200331,Printer,1266.39
ORD200868,Monitor,1265.28
ORD200988,Desk,1259.12
ORD201104,Tablet,1259.04
ORD200569,Desk,1253.4
ORD200775,Phone,1250.44
ORD200672,Phone,1248.32
ORD200630,Monitor,1244.2
ORD201036,Phone,1241.49
ORD200270,Printer,1239.64
ORD200408,Printer,1237.59
ORD200840,Chair,1235.85
ORD201008,Monitor,1232.64
ORD200637,Chair,1225.4
ORD200214,Desk,1222.88
ORD200940,Printer,1221.28
ORD201151,Chair,1216.08
ORD200485,Chair,1214.37
ORD200280,Tablet,1213.86
ORD201150,Desk,1210.6
ORD200971,Monitor,1210.52
ORD200133,Chair,1208.2
ORD200298,Printer,1204.68
ORD200855,Monitor,1203.05
ORD200788,Chair,1202.86
ORD201013,Laptop,1202.24
ORD200276,Printer,1201.14
ORD200751,Tablet,1199.72
ORD201089,Tablet,1199.48
ORD200075,Tablet,1194.51
ORD201180,Chair,1193.44
ORD200948,Phone,1188.14
ORD200623,Printer,1188.0
ORD200983,Monitor,1185.12
ORD200622,Desk,1181.9
ORD201005,Printer,1178.55
ORD201138,Desk,1177.64
ORD201147,Chair,1176.6
ORD200640,Chair,1174.98
ORD201023,Laptop,1168.35
ORD200116,Printer,1165.4
ORD200322,Phone,1159.1
ORD200973,Desk,1153.85
ORD200648,Monitor,1151.66
ORD200654,Tablet,1147.11
ORD200482,Monitor,1144.23
ORD200706,Desk,1140.45
ORD200960,Laptop,1137.21
ORD200124,Printer,1135.16
ORD200329,Chair,1132.64
ORD201014,Tablet,1132.25
ORD200157,Monitor,1129.16
ORD200922,Desk,1127.64
ORD200319,Laptop,1126.12
ORD200019,Monitor,1120.0
ORD200854,Laptop,1117.8
ORD200197,Laptop,1107.55
ORD201140,Printer,1105.66
ORD201103,Laptop,1105.28
ORD201075,Monitor,1105.26
ORD201024,Chair,1103.25
ORD200126,Desk,1102.0
ORD200316,Desk,1101.12
ORD200044,Phone,1100.36
ORD201055,Monitor,1099.28
ORD200144,Desk,1098.9
ORD200879,Phone,1095.34
ORD200023,Phone,1093.0
ORD200842,Laptop,1092.42
ORD201038,Tablet,1087.59
ORD200809,Desk,1087.15
ORD200325,Desk,1084.17
ORD200679,Tablet,1081.98
ORD200348,Laptop,1079.19
ORD200210,Chair,1075.44
ORD200929,Tablet,1072.5
ORD200203,Printer,1070.52
ORD200765,Laptop,1069.82
ORD200119,Desk,1069.34
ORD200036,Laptop,1068.86
ORD200869,Desk,1067.9
ORD200016,Printer,1067.62
ORD200122,Laptop,1066.04
ORD201116,Printer,1062.98
ORD200347,Printer,1059.16
ORD200129,Laptop,1055.72
ORD200391,Laptop,1054.92
ORD200470,Tablet,1054.48
